id,이름,포지션,몸값
a1,티에리 앙리,FW,15
a2,데니스 베르캄프,FW,14
a3,패트릭 비에이라,MF,14
a4,로베르 피레,MF,13
a5,세스크 파브레가스,MF,13
a6,솔 캠벨,DF,12
a7,콜로 투레,DF,12
a8,애슐리 콜,DF,12
a9,윌리엄 살리바,DF,12
a10,부카요 사카,FW,12
a11,마르틴 외데고르,MF,11
a12,데클런 라이스,MF,12
a13,가브리엘 마갈량이스,DF,12
a14,질베르투 실바,MF,10
a15,프레디 융베리,MF,10
a16,옌스 레만,GK,11
a17,메수트 외질,MF,12
a18,알렉시스 산체스,FW,12
a19,피에르-에메릭 오바메양,FW,12
a20,산티 카솔라,MF,12
a21,다비드 라야,GK,11
a22,카이 하베르츠,FW,10
a23,애런 램지,MF,9
a24,올리비에 지루,FW,10
a25,위리언 팀버,DF,10
a26,데이비드 시먼,GK,11
a27,테오 월콧,FW,8
a28,실뱅 윌토드,FW,8
a29,에두,MF,8
a30,토마시 로시츠키,MF,9
a31,에두아르두 다 실바,FW,9
a32,에마뉘엘 아데바요르,FW,9
a33,알렉산데르 흘레프,MF,9
a34,사미르 나스리,MF,9
a35,안드레이 아르샤빈,FW,9
a36,잭 윌셔,MF,9
a37,그라니트 자카,MF,11
a38,토마스 파티,MF,11
a39,알렉상드르 라카제트,FW,11
a40,나초 몬레알,DF,9
a41,엑토르 벨레린,DF,8
a42,애런 램스데일,GK,8
a43,벤 화이트,DF,11
a44,레안드로 트로사르,FW,11
a45,가브리엘 제주스,FW,11
a46,마르틴 주비멘디,MF,11
a47,빅토르 요케레스,FW,11
a48,에베레치 에세,FW,11
a49,가브리엘 마르티넬리,FW,10
a50,로렌,DF,10
a51,로랑 코시엘니,DF,10
a52,페어 메르테자커,DF,10
a53,바카리 사냐,DF,10
a54,미켈 아르테타,MF,10
a55,페트르 체흐,GK,10
a56,마틴 키언,DF,10
a57,레이 팔러,MF,10
a58,파스칼 시강,DF,10
a59,호세 안토니오 레예스,FW,10
a60,윌리엄 갈라스,DF,10
a61,가엘 클리시,DF,10
a62,에마뉘엘 에부에,DF,10
a63,마누엘 알무니아,GK,10
a64,마티외 플라미니,MF,10
a65,아부 디아비,MF,10
a66,알렉산드르 송,MF,10
a67,루카스 포돌스키,FW,10
a68,세아드 콜라시나치,DF,10
a69,헨리흐 음히타리안,MF,10
a70,에인슬리 메이트랜드-나일스,MF,10
a71,리카르도 칼라피오리,DF,10
a72,올렉산드르 진첸코,DF,10
a73,미켈 메리노,MF,10
a74,보이체흐 슈체스니,GK,9
a75,은완쿠 카누,FW,9
a76,필리프 센데로스,DF,9
a77,조한 주루,DF,9
a78,데닐손,MF,9
a79,카를로스 벨라,FW,9
a80,니클라스 벤트너,FW,9
a81,우카시 파비안스키,GK,9
a82,마티외 드뷔시,DF,9
a83,캘럼 체임버스,DF,9
a84,가브리엘 파울리스타,DF,9
a85,다비드 오스피나,GK,9
a86,모하메드 엘네니,MF,9
a87,알렉스 이워비,MF,9
a88,대니 웰벡,FW,9
a89,베른트 레노,GK,9
a90,소크라티스,DF,9
a91,에밀 스미스 로,MF,9
a92,루카스 토레이라,MF,9
a93,에디 응케티아,FW,9
a94,타케히로 토미야스,DF,9
a95,키어런 티어니,DF,9
a96,파비오 비에이라,MF,8
a97,노니 마두에케,FW,8
a98,지오반니 반 브롱크호르스트,DF,7
a99,제레미 알리아디에르,FW,5
a100,스튜어트 테일러,GK,5
a101,저스틴 호이트,DF,5
a102,마르트 품,GK,6
a103,아르망 트라오레,DF,6
a104,칼 젠킨슨,DF,8
a105,키어런 깁스,DF,7
a106,알렉스 옥슬레이드-체임벌린,MF,8
a107,요시 베나윤,MF,7
a108,미카엘 실베스트르,DF,6
a109,세바스티앙 스킬라치,DF,6
a110,마루안 샤마크,FW,6
a111,제르비뉴,FW,8
a112,조르지뉴,MF,8
a113,박주영,FW,5
a114,롭 홀딩,DF,8
a115,야야 사노고,FW,7
a116,조엘 캠벨,FW,7
a117,콘스탄티노스 마브로파노스,DF,6
a118,마테오 구엔두지,MF,7
a119,슈테판 리히트슈타이너,DF,6
a120,세바스티안 라르손,MF,7
a121,매튜 업슨,DF,7
a122,저메인 페넌트,MF,7
a123,안드레 산토스,DF,7
a124,다니 세바요스,MF,7
a125,세드릭 소아레스,DF,7
a126,파블로 마리,DF,7
a127,다비드 루이스,DF,8
a128,누누 타바레스,DF,6
a129,야쿠브 키비오르,DF,7
a130,슈코드란 무스타피,DF,6
a131,마일스 루이스-스켈리,DF,7
a132,알베르 삼비 로콩가,MF,6
a133,이고르스 스테파놉스,DF,6
a134,올레흐 루즈니,DF,6
a135,비토 만노네,GK,6
a136,리스 넬슨,FW,6
a137,에미 마르티네스,GK,6
a138,매트 터너,GK,6
a139,케파 아리사발라가,GK,6
a140,크리스티안 모스케라,DF,6
a141,조 윌록,MF,6
a142,윌리안,FW,7
a143,마르키뉴스,FW,5
a144,루카스 페레스,FW,5
a145,데이비드 벤틀리,MF,5
a146,니콜라스 페페,FW,8
a147,폴라린 발로건,FW,5
a148,라미 샤반,GK,5
a149,헨리 랜스버리,MF,5
a150,라사나 디아라,MF,7
a151,크리스티안 노르고르,MF,6
