이름,포지션,몸값
티에리 앙리,FW,$15
데니스 베르캄프,FW,$14
패트릭 비에이라,MF,$14
로베르 피레,MF,$14
세스크 파브레가스,MF,$13
로빈 반 페르시,FW,$13
솔 캠벨,DF,$13
콜로 투레,DF,$13
애슐리 콜,DF,$13
윌리엄 살리바,DF,$13
부카요 사카,FW,$13
마르틴 외데고르,MF,$13
데클런 라이스,MF,$13
가브리엘 마갈량이스,DF,$13
가브리엘 마르티넬리,FW,$13
질베르투 실바,MF,$12
프레디 융베리,MF,$12
옌스 레만,GK,$12
라우렌,DF,$12
메수트 외질,MF,$12
알렉시스 산체스,FW,$12
피에르-에메릭 오바메양,FW,$12
산티 카솔라,MF,$12
애런 램지,MF,$12
올리비에 지루,FW,$12
로랑 코시엘니,DF,$12
페어 메르테자커,DF,$12
바카리 사냐,DF,$12
미켈 아르테타,MF,$12
보이체흐 슈체스니,GK,$12
페트르 체흐,GK,$12
다비드 라야,GK,$12
카이 하베르츠,FW,$12
위리언 팀버,DF,$12
데이비드 시먼,GK,$11
테오 월콧,FW,$11
실뱅 윌토드,FW,$11
에두,MF,$11
토마시 로시츠키,MF,$11
에두아르두 다 실바,FW,$11
에마뉘엘 아데바요르,FW,$11
알렉산데르 흘레프,MF,$11
사미르 나스리,MF,$11
안드레이 아르샤빈,FW,$11
잭 윌셔,MF,$11
그라니트 자카,MF,$11
토마스 파티,MF,$11
알렉상드르 라카제트,FW,$11
나초 몬레알,DF,$11
엑토르 벨레린,DF,$11
애런 램스데일,GK,$11
벤 화이트,DF,$11
레안드로 트로사르,FW,$11
가브리엘 제주스,FW,$11
마르틴 주비멘디,MF,$11
빅토르 요케레스,FW,$11
에베레치 에세,FW,$11
마틴 키언,DF,$10
레이 팔러,MF,$10
파스칼 시강,DF,$10
호세 안토니오 레예스,FW,$10
윌리엄 갈라스,DF,$10
가엘 클리시,DF,$10
에마뉘엘 에부에,DF,$10
마누엘 알무니아,GK,$10
마티외 플라미니,MF,$10
아부 디아비,MF,$10
알렉산드르 송,MF,$10
루카스 포돌스키,FW,$10
세아드 콜라시나치,DF,$10
헨리흐 음히타리안,MF,$10
에인슬리 메이트랜드-나일스,MF,$10
리카르도 칼라피오리,DF,$10
올렉산드르 진첸코,DF,$10
미켈 메리노,MF,$10
은완쿠 카누,FW,$9
필리프 센데로스,DF,$9
조한 주루,DF,$9
데닐손,MF,$9
카를로스 벨라,FW,$9
니클라스 벤트너,FW,$9
우카시 파비안스키,GK,$9
마티외 드뷔시,DF,$9
캘럼 체임버스,DF,$9
가브리엘 파울리스타,DF,$9
다비드 오스피나,GK,$9
모하메드 엘네니,MF,$9
알렉스 이워비,MF,$9
대니 웰벡,FW,$9
베른트 레노,GK,$9
소크라티스,DF,$9
에밀 스미스 로,MF,$9
루카스 토레이라,MF,$9
에디 응케티아,FW,$9
다케히로 도미야스,DF,$9
키어런 티어니,DF,$9
파비오 비에이라,MF,$9
노니 마두에케,FW,$9
지오반니 반 브롱크호르스트,DF,$8
제레미 알리아디에르,FW,$8
스튜어트 테일러,GK,$8
저스틴 호이트,DF,$8
마르트 품,GK,$8
아르망 트라오레,DF,$8
칼 젠킨슨,DF,$8
키어런 깁스,DF,$8
알렉스 옥슬레이드-체임벌린,MF,$8
요시 베나윤,MF,$8
미카엘 실베스트르,DF,$8
세바스티앙 스킬라시,DF,$8
마루안 샤마크,FW,$8
제르비뉴,FW,$8
조르지뉴,MF,$8
박주영,FW,$8
롭 홀딩,DF,$8
야야 사노고,FW,$7
조엘 캠벨,FW,$7
콘스탄티노스 마브로파노스,DF,$7
마테오 구엔두지,MF,$7
슈테판 리히트슈타이너,DF,$7
세바스티안 라르손,MF,$7
매튜 업슨,DF,$7
저메인 페넌트,MF,$7
안드레 산토스,DF,$7
다니 세바요스,MF,$7
세드릭 소아레스,DF,$7
파블로 마리,DF,$7
다비드 루이스,DF,$7
누누 타바레스,DF,$7
야쿠브 키비오르,DF,$7
슈코드란 무스타피,DF,$7
마일스 루이스-스켈리,DF,$7
알베르 삼비 로콩가,MF,$6
이고르스 스테파놉스,DF,$6
올레흐 루즈니,DF,$6
스타티스 타블라리디스,DF,$6
비토 만노네,GK,$6
리스 넬슨,FW,$6
다미안 마르티네스,GK,$6
매트 터너,GK,$6
케파 아리사발라가,GK,$6
크리스티안 모스케라,DF,$6
조 윌록,MF,$6
윌리안,FW,$5
마르키뉴스,FW,$5
루카스 페레스,FW,$5
퀸시 오우수-아베이에,FW,$5
데이비드 벤틀리,MF,$5
니콜라스 페페,FW,$5
