game_slug,external_id,name,name_ko,image_url,primary_position,price,team,team_ko,era,description_ko,attribute_json
arsenal-legends,arsenal-henry,Thierry Henry,티에리 앙리,/draft/arsenal/henry.webp,FW,15.0,Arsenal,아스날,1999-2007,클럽 역대 최다 득점자. Invincibles 시즌의 상징.,"{""goals"":228,""assists"":109,""trophies"":4,""ballon_dor_rank"":2}"
arsenal-legends,arsenal-bergkamp,Dennis Bergkamp,데니스 베르캄프,/draft/arsenal/bergkamp.webp,FW,13.0,Arsenal,아스날,1995-2006,비행기 안 타기로 유명한 아이스맨 NL 출신.,"{""goals"":120,""assists"":94,""trophies"":7}"
arsenal-legends,arsenal-vieira,Patrick Vieira,파트리크 비에이라,/draft/arsenal/vieira.webp,MF,13.5,Arsenal,아스날,1996-2005,Invincibles의 캡틴. 박스 투 박스 미드필더의 정수.,"{""goals"":33,""assists"":35,""trophies"":7,""captain"":true}"
arsenal-legends,arsenal-pires,Robert Pires,로베르 피레스,/draft/arsenal/pires.webp,MF,11.0,Arsenal,아스날,2000-2006,Invincibles 시즌 PFA 올해의 선수.,"{""goals"":84,""assists"":59}"
arsenal-legends,arsenal-adams,Tony Adams,토니 애덤스,/draft/arsenal/adams.webp,DF,11.0,Arsenal,아스날,1983-2002,Mr. Arsenal 캡틴 19년. 4번의 디비전 우승.,"{""goals"":48,""trophies"":13,""captain"":true,""one_club_man"":true}"
arsenal-legends,arsenal-seaman,David Seaman,데이비드 시먼,/draft/arsenal/seaman.webp,GK,9.5,Arsenal,아스날,1990-2003,콧수염 골키퍼. 75개 클린시트.,"{""clean_sheets"":141,""trophies"":9}"
arsenal-legends,arsenal-saka,Bukayo Saka,부카요 사카,/draft/arsenal/saka.webp,FW,12.0,Arsenal,아스날,2018-current,Hale End 출신 현 에이스. 14세에 클럽 입단.,"{""goals"":59,""assists"":61,""homegrown"":true}"
arsenal-legends,arsenal-odegaard,Martin Odegaard,마르틴 외데고르,/draft/arsenal/odegaard.webp,MF,12.5,Arsenal,아스날,2021-current,현 캡틴. 노르웨이의 천재.,"{""goals"":34,""assists"":42,""captain"":true}"
slam-dunk,sd-sakuragi,Sakuragi Hanamichi,강백호,/draft/slamdunk/sakuragi.webp,PF,16.0,Shohoku,북산,manga,자칭 천재. 188cm 1학년 신인 — 리바운드의 왕.,"{""height_cm"":188,""rebound"":""S"",""scoring"":""B"",""defense"":""C""}"
slam-dunk,sd-rukawa,Rukawa Kaede,서태웅,/draft/slamdunk/rukawa.webp,SF,18.0,Shohoku,북산,manga,천재 신인 1학년. 슈팅·드리블 모두 일류.,"{""height_cm"":187,""scoring"":""S"",""defense"":""A"",""dribble"":""S""}"
slam-dunk,sd-akagi,Akagi Takenori,채치수,/draft/slamdunk/akagi.webp,C,15.5,Shohoku,북산,manga,북산 주장. 골밑의 고릴라.,"{""height_cm"":197,""rebound"":""S"",""block"":""S"",""scoring"":""A""}"
slam-dunk,sd-mitsui,Mitsui Hisashi,정대만,/draft/slamdunk/mitsui.webp,SG,14.0,Shohoku,북산,manga,불꽃 남자. 3점 슛 최고봉.,"{""three_point"":""S"",""scoring"":""A"",""stamina"":""B""}"
slam-dunk,sd-miyagi,Miyagi Ryota,송태섭,/draft/slamdunk/miyagi.webp,PG,12.0,Shohoku,북산,manga,번개. 168cm 작은 거인.,"{""speed"":""S"",""steal"":""A"",""assist"":""A""}"
slam-dunk,sd-sawakita,Sawakita Eiji,정우성,/draft/slamdunk/sawakita.webp,SF,20.0,Sannoh,산왕,manga,일본 No.1 고교 SF. 산왕의 에이스.,"{""scoring"":""S+"",""defense"":""S"",""mvp"":true}"
slam-dunk,sd-fukatsu,Fukatsu Tetsuji,후카츠 테츠지,/draft/slamdunk/fukatsu.webp,PG,14.0,Sannoh,산왕,manga,산왕 캡틴 PG. 침착한 게임 메이커.,"{""assist"":""S"",""leadership"":""S""}"
three-kingdoms,3k-caocao,Cao Cao,조조,/draft/3k/caocao.webp,RULER,18.0,Wei,위,late-han,위왕. 천하 통일에 가장 가까웠던 군주.,"{""war"":72,""strategy"":98,""politics"":97,""charm"":85}"
three-kingdoms,3k-liubei,Liu Bei,유비,/draft/3k/liubei.webp,RULER,15.0,Shu,촉,late-han,촉한의 시조. 인덕의 화신.,"{""war"":70,""strategy"":80,""politics"":85,""charm"":99}"
three-kingdoms,3k-sunquan,Sun Quan,손권,/draft/3k/sunquan.webp,RULER,14.0,Wu,오,late-han,오의 대제. 적벽의 승리자.,"{""war"":68,""strategy"":83,""politics"":90,""charm"":86}"
three-kingdoms,3k-zhuge,Zhuge Liang,제갈량,/draft/3k/zhuge.webp,STRATEGIST,18.0,Shu,촉,late-han,와룡. 천하삼분지계의 설계자.,"{""war"":40,""strategy"":100,""politics"":95,""charm"":92}"
three-kingdoms,3k-sima,Sima Yi,사마의,/draft/3k/sima.webp,STRATEGIST,16.0,Wei,위,late-han,중달. 제갈량의 영원한 라이벌.,"{""war"":60,""strategy"":98,""politics"":94,""charm"":75}"
three-kingdoms,3k-zhouyu,Zhou Yu,주유,/draft/3k/zhouyu.webp,STRATEGIST,14.0,Wu,오,late-han,적벽대전의 총사령관.,"{""war"":75,""strategy"":96,""politics"":80,""charm"":94}"
three-kingdoms,3k-lubu,Lu Bu,여포,/draft/3k/lubu.webp,WARRIOR,18.0,None,자유,late-han,사람 중에는 여포 말 중에는 적토.,"{""war"":100,""strategy"":35,""politics"":30,""charm"":75}"
three-kingdoms,3k-guanyu,Guan Yu,관우,/draft/3k/guanyu.webp,WARRIOR,17.0,Shu,촉,late-han,관성제군. 의리의 화신.,"{""war"":97,""strategy"":75,""politics"":62,""charm"":94,""loyalty"":99}"
three-kingdoms,3k-zhangfei,Zhang Fei,장비,/draft/3k/zhangfei.webp,WARRIOR,14.0,Shu,촉,late-han,익덕. 호위장군. 술 좋아함.,"{""war"":97,""strategy"":60,""politics"":40,""charm"":50,""loyalty"":99}"
three-kingdoms,3k-zhaoyun,Zhao Yun,조운,/draft/3k/zhaoyun.webp,WARRIOR,16.0,Shu,촉,late-han,자룡. 백마장군. 장판파의 영웅.,"{""war"":96,""strategy"":80,""politics"":75,""charm"":90}"
