game_slug,external_id,name,name_ko,image_url,primary_position,price,team,team_ko,era,description_ko,attribute_json,estimated,source,notes,confidence
slam-dunk,sd-sakuragi,Sakuragi Hanamichi,강백호,,PF,22,Shohoku,북산고,manga,주인공. 자칭 천재. 188cm 1학년 신인. 리바운드의 왕. 머리 빨강.,"{""height_cm"":188,""year"":1,""rebound"":""S"",""scoring"":""B"",""defense"":""C+"",""stamina"":""S""}",false,https://en.wikipedia.org/wiki/Hanamichi_Sakuragi,,0.95
slam-dunk,sd-rukawa,Rukawa Kaede,서태웅,,SF,25,Shohoku,북산고,manga,쿨한 1학년 천재. 슈팅·드리블·점프 일류. 미국행 꿈.,"{""height_cm"":187,""year"":1,""scoring"":""S+"",""defense"":""A"",""dribble"":""S""}",false,https://en.wikipedia.org/wiki/Kaede_Rukawa,,0.95
slam-dunk,sd-akagi,Akagi Takenori,채치수,,C,18,Shohoku,북산고,manga,북산 주장. 197cm 골밑의 고릴라. 동생 채소연.,"{""height_cm"":197,""year"":3,""rebound"":""S"",""block"":""S"",""scoring"":""A"",""leadership"":""S""}",false,https://en.wikipedia.org/wiki/Takenori_Akagi,,0.93
slam-dunk,sd-mitsui,Mitsui Hisashi,정대만,,SG,17,Shohoku,북산고,manga,불꽃 남자. 3점 슛 최고봉. 한때 탈선했다 복귀. 명대사 안 선생님 농구가 하고 싶어요.,"{""height_cm"":184,""year"":3,""three_point"":""S+"",""scoring"":""A"",""stamina"":""B-"",""mentality"":""S""}",false,https://en.wikipedia.org/wiki/Hisashi_Mitsui,,0.94
slam-dunk,sd-miyagi,Miyagi Ryota,송태섭,,PG,15,Shohoku,북산고,manga,번개. 168cm 작은 거인. 부캡틴. 정대만 친구. 한나에 짝사랑.,"{""height_cm"":168,""year"":2,""speed"":""S"",""steal"":""A"",""assist"":""A"",""dribble"":""A""}",false,https://en.wikipedia.org/wiki/Ryota_Miyagi,,0.93
slam-dunk,sd-kogure,Kogure Kiminobu,권준호,,SG,5,Shohoku,북산고,manga,안경 부장. 3학년 벤치. 안한수 감독 신뢰. 결정적 3점 슛 다수.,"{""height_cm"":178,""year"":3,""three_point"":""B+"",""leadership"":""A"",""mentality"":""A""}",false,https://en.wikipedia.org/wiki/Kiminobu_Kogure,,0.9
slam-dunk,sd-yasuda,Yasuda Yasuharu,이달재,,PG,3,Shohoku,북산고,manga,2학년 백업 PG. 송태섭 부상 시 백업.,"{""height_cm"":167,""year"":2,""assist"":""B"",""stamina"":""B""}",false,https://en.wikipedia.org/wiki/Yasuharu_Yasuda,,0.85
slam-dunk,sd-sendoh,Sendoh Akira,윤대협,,SF,23,Ryonan,능남고,manga,능남 에이스. 만화 최강 SF 후보. 다재다능. 낚시 좋아함.,"{""height_cm"":190,""year"":3,""scoring"":""S+"",""defense"":""A"",""dribble"":""S"",""leadership"":""A""}",false,https://en.wikipedia.org/wiki/Akira_Sendoh,,0.95
slam-dunk,sd-uozumi,Uozumi Jun,변덕규,,C,14,Ryonan,능남고,manga,능남 캡틴. 채치수 라이벌. 곱슬머리 빅맨. 졸업 후 일본 대학.,"{""height_cm"":202,""year"":3,""rebound"":""A+"",""block"":""A"",""scoring"":""A"",""leadership"":""A""}",false,https://en.wikipedia.org/wiki/Jun_Uozumi,,0.92
slam-dunk,sd-fukuda,Fukuda Kicchou,황태산,,PF,12,Ryonan,능남고,manga,능남 거친 PF. 강백호와 자주 부딪힘. 결투 캐릭터.,"{""height_cm"":190,""year"":2,""scoring"":""A"",""defense"":""A"",""mentality"":""B-""}",false,https://en.wikipedia.org/wiki/Kicchou_Fukuda,,0.9
slam-dunk,sd-hikoichi,Hikoichi Aida,적호열,,PG,4,Ryonan,능남고,manga,1학년 신성. 노트 가지고 분석. 작은 키. 송태섭 라이벌.,"{""height_cm"":167,""year"":1,""speed"":""A"",""analysis"":""S"",""scoring"":""C+""}",false,https://en.wikipedia.org/wiki/Hikoichi_Aida,,0.9
