카테고리,트리거_조건,수치,호칭_이름(안),설명_및_비고
승부예측,총 예측 참여,1,첫 발을 내딛다,첫 예측 [즉시가능]
승부예측,총 예측 참여,10,초보 예측가,10회 예측 [즉시가능]
승부예측,총 예측 참여,50,중급 분석가,50회 예측 [즉시가능]
승부예측,총 예측 참여,100,프로 예측러,100회 예측 [즉시가능]
승부예측,총 예측 참여,500,예측의 달인,500회 예측 [즉시가능]
승부예측,총 예측 참여,1000,천 번의 승부,1000회 예측 [즉시가능]
승부예측,총 적중 횟수,1,첫 적중,첫 번째 적중 [즉시가능]
승부예측,총 적중 횟수,10,열 번의 기적,10번 적중 [즉시가능]
승부예측,총 적중 횟수,50,눈썰미,50번 적중 [즉시가능]
승부예측,총 적중 횟수,100,백발백중,100번 적중 [즉시가능]
승부예측,총 적중 횟수,500,예언자,500번 적중 [즉시가능]
승부예측,연속 적중 best_win_streak,3,연승 시작,3연속 적중 [즉시가능]
승부예측,연속 적중 best_win_streak,5,오연승 신화,5연속 적중 [즉시가능]
승부예측,연속 적중 best_win_streak,10,열풍의 예언자,10연속 적중 [즉시가능]
승부예측,연속 적중 best_win_streak,20,신들린 적중왕,20연속 적중 [즉시가능]
승부예측,적중률 60%+ (50게임이상),60%,감 좋은 사나이,정확도 60% [즉시가능]
승부예측,적중률 70%+ (100게임이상),70%,황금 눈,정확도 70% [즉시가능]
승부예측,적중률 80%+ (200게임이상),80%,신의 한 수,정확도 80% [즉시가능]
승부예측,수익률 양수 (50게임+),>0%,흑자 전환,수익률 플러스 [즉시가능]
승부예측,수익률 20%+,20%,투자의 귀재,수익률 20% [즉시가능]
승부예측,수익률 50%+,50%,워런 버핏,수익률 50% [즉시가능]
승부예측,축구 예측 100+,100,축구 전문가,축구 100경기 [즉시가능]
승부예측,야구 예측 100+,100,야구 전문가,야구 100경기 [즉시가능]
승부예측,농구 예측 100+,100,농구 전문가,농구 100경기 [즉시가능]
승부예측,배구 예측 100+,100,배구 전문가,배구 100경기 [즉시가능]
승부예측,4개 종목 각 10+,각10+,만능 스포츠맨,4종목 모두 참여 [즉시가능]
승부예측,연패 worst_lose_streak 10+,10,불굴의 의지,10연패 불사 [즉시가능]
승부예측,시즌 랭킹 1위,1위,시즌 챔피언,시즌 1위 [즉시가능]
승부예측,시즌 TOP 10,10위,시즌 엘리트,시즌 10위 이내 [즉시가능]
승부예측,역배 적중 (odds>=3.0),3.0+,대반전 주인공,고배당 적중 [집계테이블필요]
승부예측,하루 10경기 이상 예측,10,하루 올인,하루 10경기+ [집계테이블필요]
경기장건설,첫 투자,1회,삽 한번 뜨다,첫 투자 [즉시가능]
경기장건설,투자 횟수 10+,10,건설 노동자,10번 투자 [즉시가능]
경기장건설,투자 횟수 50+,50,현장 감독,50번 투자 [즉시가능]
경기장건설,투자 횟수 100+,100,건축왕,100번 투자 [즉시가능]
경기장건설,누적 기여 1000+,1000,소액 투자자,1000P 기여 [즉시가능]
경기장건설,누적 기여 10000+,10000,중견 투자자,10000P 기여 [즉시가능]
경기장건설,누적 기여 100000+,100000,대주주,100000P 기여 [즉시가능]
경기장건설,누적 기여 1000000+,1000000,구단주급,백만P 기여 [즉시가능]
경기장건설,다른 팀 3개 투자,3팀,멀티 구단 팬,3팀 투자 [즉시가능]
경기장건설,다른 팀 10개 투자,10팀,스포츠 재벌,10팀 투자 [즉시가능]
경기장건설,레벨10 경기장 기여자,Lv10,월드클래스 빌더,Lv10 기여 [즉시가능]
경기장건설,특정 팀 기여 1위,1위,제1 서포터,팀 기여 1위 [집계테이블필요]
